product_id,product_name,category,price,stock_level,purchased_date,total_sales
110895339,"Marketside Roasted Red Pepper Hummus, 10 Oz","Hummus, Dips, & Salsa",2.67,34,2022-09-11 21:20:04,20
105455228,"Marketside Roasted Garlic Hummus, 10 Oz","Hummus, Dips, & Salsa",2.67,143,2022-09-11 21:20:04,26
128642379,"Marketside Classic Hummus, 10 Oz","Hummus, Dips, & Salsa",2.67,41,2022-09-11 21:20:04,26
366126367,"Marketside Everything Hummus, 10 oz","Hummus, Dips, & Salsa",2.67,68,2022-09-11 21:20:04,21
160090316,"Price's Jalapeno Dip, 12 Oz.","Hummus, Dips, & Salsa",3.12,36,2022-09-11 21:20:04,13
174071300,"Price's Green Chili Dip, 12 Oz.","Hummus, Dips, & Salsa",3.12,44,2022-09-11 21:20:04,5
10294995,"Dean's, French Onion Dip, 16 oz Tub","Hummus, Dips, & Salsa",2.42,129,2022-09-11 21:20:04,6
37915367,"Marketside Spinach & Artichoke Dip, 16 Oz","Hummus, Dips, & Salsa",5.54,98,2022-09-11 21:20:04,20
482903957,Fresh Cravings Roasted Red Pepper Hummus 10oz,"Hummus, Dips, & Salsa",3.27,31,2022-09-11 21:20:04,22
538183292,"Marketside Buffalo Style Chicken Dip, 11 oz","Hummus, Dips, & Salsa",4.54,99,2022-09-11 21:20:04,26
628355959,"Marketside Spicy Hummus, 10 oz","Hummus, Dips, & Salsa",2.67,87,2022-09-11 21:20:04,11
764726416,"Marketside Pine Nut Hummus, 10 oz","Hummus, Dips, & Salsa",2.67,59,2022-09-11 21:20:04,9
439259695,"Marketside Cantina Style Salsa, 16 oz","Hummus, Dips, & Salsa",2.86,88,2022-09-11 21:20:04,7
825414671,Fresh Cravings Everything Bagel Hummus 10oz,"Hummus, Dips, & Salsa",3.27,78,2022-09-11 21:20:04,7
437850228,Fresh Cravings Roasted Garlic Hummus 10 oz,"Hummus, Dips, & Salsa",3.27,111,2022-09-11 21:20:04,18
947277219,Fresh Cravings Honey Jalapeno Hummus 10oz,"Hummus, Dips, & Salsa",3.27,69,2022-09-11 21:20:04,13
789505963,Fresh Cravings Classic Hummus 10oz,"Hummus, Dips, & Salsa",3.27,26,2022-09-11 21:20:04,30
533767006,"Freshness Guaranteed Guacamole, Mild, 8 oz","Hummus, Dips, & Salsa",3.14,59,2022-09-11 21:20:04,23
634219926,"Tabla Fresca Farmstand Fresh Mild Salsa, 16 oz","Hummus, Dips, & Salsa",3.94,51,2022-09-11 21:20:04,21
562281812,Fresh Cravings Spicy Red Pepper Hummus 10oz,"Hummus, Dips, & Salsa",3.27,93,2022-09-11 21:20:04,28
10533232,"Gordo's Original Queso Cheese Dip, 16 oz Tub Brand/ Product Line=Gordo's Count per pack=this item is single, none to list Food Condition=must be refrigerated","Hummus, Dips, & Salsa",5.2,58,2022-09-11 21:20:04,28
194597385,"Great Value French Onion Dip, 16 oz Tub","Hummus, Dips, & Salsa",1.68,108,2022-09-11 21:20:04,25
523209999,"Marketside Bacon Ranch Cheddar Dip, 16 oz","Hummus, Dips, & Salsa",5.54,50,2022-09-11 21:20:04,13
45595344,"Marketside Spinach Dip, 16 Oz","Hummus, Dips, & Salsa",4.54,49,2022-09-11 21:20:04,9
353746204,"Tabla Fresca Farmstand Cilantro Salsa, 32 Oz","Hummus, Dips, & Salsa",5.94,144,2022-09-11 21:20:04,27
886189683,"Marketside Tzatziki Style Dip, 16 oz","Hummus, Dips, & Salsa",5.54,108,2022-09-11 21:20:04,25
182014505,"Price's Grade A Red And Green Chile Sour Cream Dip, 12 Oz.","Hummus, Dips, & Salsa",3.12,129,2022-09-11 21:20:04,29
918905668,"Marketside Sweet Heat Mango Peach Salsa, 16 Ounce","Hummus, Dips, & Salsa",3.96,24,2022-09-11 21:20:04,22
803856854,"Marketside Jalapeno Artichoke Dip, 16 oz","Hummus, Dips, & Salsa",5.54,93,2022-09-11 21:20:04,27
175922691,Julio's Mild Sauce 16oz,"Hummus, Dips, & Salsa",3.58,131,2022-09-11 21:20:04,16
719820277,"Texas Pete Blazin Buffalo Chicken Dip, 12 oz.","Hummus, Dips, & Salsa",3.98,57,2022-09-11 21:20:04,10
45048083,"Giovanni Rana Homestyle Sauce Alfredo Premium Pasta Topping Jar (Family Size, 15oz)","Hummus, Dips, & Salsa",6.5,70,2022-09-11 21:20:04,27
763504859,"Marketside Gouda Bacon Green Chile Dip, 12 oz","Hummus, Dips, & Salsa",5.74,124,2022-09-11 21:20:04,39
585091565,"Freshness Guaranteed Chunky Avocado, 8 Oz (Fresh)","Hummus, Dips, & Salsa",3.14,74,2022-09-11 21:20:04,39
123008789,"Marketside Mild Queso Blanco Dip, 16 oz","Hummus, Dips, & Salsa",4.68,119,2022-09-11 21:20:04,50
135810005,"Freshness Guaranteed Spicy Guacamole Mini Cups, 2 Oz, 6 Count (Fresh)","Hummus, Dips, & Salsa",4.28,67,2022-09-11 21:20:04,32
10416257,"WHOLLY Guacamole Classic Mini Single Serve Cups, Mild, 2 Oz (6-Pack)","Hummus, Dips, & Salsa",5.63,139,2022-09-11 21:20:04,30
465407928,Rojo's Classic 5 Layer Dip 28oz,"Hummus, Dips, & Salsa",6.98,23,2022-09-11 21:20:04,21
566601063,"Marketside Spinach Dip, 24 oz","Hummus, Dips, & Salsa",6.64,122,2022-09-11 21:20:04,48
778724908,"Marketside Smokehouse Burnt Ends Dip, 12 oz","Hummus, Dips, & Salsa",5.74,140,2022-09-11 21:20:04,20
763504859,"Marketside Gouda Bacon Green Chile Dip, 12 oz","Hummus, Dips, & Salsa",5.74,97,2022-09-11 21:20:04,39
